candidate_name,gender,photo_name
Madan Lal,M,p-list2-003.png
Dhani Ram,M,p-list2-004.png
Joginder Kumar,M,p-list2-005.png
Parveen Kumar,M,p-list2-006.png
Prem Kumar Dhumal,M,p-list2-007.png
Ravinder Singh Dogra,M,p-list2-008.png
Rajinder Singh,M,p-list2-009.png
Anil Kumar Mankotia,M,p-list2-010.png
Kuldeep Singh,M,p-list2-011.png
Narinder Thakur,M,p-list2-012.png
Lal Singh Mastana,M,p-list2-013.png
Raj Kumar,M,p-list2-014.png
Ashish Kumar,M,p-list2-015.png
Kamal Pathania,M,p-list2-016.png
Inder Dutt Lakhanpal,M,p-list2-017.png
Baldev Sharma,M,p-list2-018.png
Saroti Devi,F,p-list2-019.png
Vinod Thakur,M,p-list2-020.png
Sita Ram Bhardwaj,M,p-list2-021.png
Ravi Parkash,M,p-list2-022.png
Vijay Kumar,M,p-list2-023.png
Sukhvinder Singh Thakur,M,p-list2-024.png
Prithi Chand,M,p-list2-025.png
Ranjeet Singh,M,p-list2-026.png
Lekh Raj,M,p-list2-027.png
Kuldip Kumar,M,p-list2-028.png
Balbir Singh,M,p-list2-029.png
Ranjit Singh,M,p-list2-030.png
Rakesh Kalia,M,p-list2-031.png
Rajesh Thakur,M,p-list2-032.png
Lekh Raj Katnoria,M,p-list2-033.png
Subhash Sharma,M,p-list2-034.png
Mukesh Agnihotri,M,p-list2-035.png
Ram Kumar,M,p-list2-036.png
Virender Kumar,M,p-list2-037.png
Ravinder Pal Singh Mann,M,p-list2-038.png
Ravi Kumar,M,p-list2-039.png
Satpal Singh Raizada,M,p-list2-040.png
Satpal Singh Satti,M,p-list2-041.png
Gulzar Singh,M,p-list2-042.png
Rajiv Gautam,M,p-list2-043.png
Manohar Lal,M,p-list2-044.png
Vivek Sharma,M,p-list2-045.png
Virender Singh Kanwar,M,p-list2-046.png
Sandeep Sharma,M,p-list2-047.png
Shiv Hari Pal,M,p-list2-048.png
Sawarn Dass,M,p-list2-049.png
Jeet Ram Katwal,M,p-list2-050.png
Beeru Ram Kishore,M,p-list2-051.png
Rajinder Garg,M,p-list2-052.png
Rajesh Dharmani,M,p-list2-053.png
Suresh Kumar,M,p-list2-054.png
Bumber Thakur,M,p-list2-055.png
Subhash Thakur,M,p-list2-056.png
Amar Singh,M,p-list2-057.png
Basant Ram Sandhu,M,p-list2-058.png
Randhir Sharma,M,p-list2-059.png
Ram Lal Thakur,M,p-list2-060.png
Balak Ram Sharma,M,p-list2-061.png
Ramesh Chand,M,p-list2-062.png
Sukh Ram Thakur,M,p-list2-063.png
Rattan Singh Pal,M,p-list2-064.png
Virbhadra Singh,M,p-list2-065.png
Vijay Singh,M,p-list2-066.png
Vijay Singh,M,p-list2-067.png
Krishan Lal Thakur,M,p-list2-068.png
Lakhvinder Singh Rana,M,p-list2-069.png
Gurnam Singh,M,p-list2-070.png
Hardeep Singh Bawa,M,p-list2-071.png
Harpreet Singh,M,p-list2-072.png
Paramjeet Singh,M,p-list2-073.png
Ram Kumar,M,p-list2-074.png
Inder Singh Thakur,M,p-list2-075.png
Ajay Bhatti,M,p-list2-076.png
Dhani Ram Shandil,M,p-list2-077.png
Rajesh Kashyap,M,p-list2-078.png
Shashi Kant Chauhan,M,p-list2-079.png
Rajiv Saizal,M,p-list2-080.png
Vinod Sultanpuri,M,p-list2-081.png
Virender Kumar Kashyap,M,p-list2-082.png
Keshav Kumar,M,p-list2-083.png
Rajeev Kumar Kaundal,M,p-list2-084.png
Gangu Ram Musafir,M,p-list2-085.png
Suresh Kumar Kashyap,M,p-list2-086.png
Rattan Singh Kashyap,M,p-list2-087.png
Ajay Solanki,M,p-list2-088.png
Jai Chand,M,p-list2-089.png
Dr. Rajeev Bindal,M,p-list2-090.png
Vishwanath,M,p-list2-091.png
Virender Kumar,M,p-list2-092.png
Balbir Singh,M,p-list2-093.png
Vinay Kumar,M,p-list2-094.png
Hirdaya Ram,M,p-list2-095.png
